"state","totalvote","blue","red","outcome","year"
"Alabama",9,"0","9","red",1980
"Alaska",3,"0","3","red",1980
"Arizona",6,"0","6","red",1980
"Arkansas",6,"0","6","red",1980
"California",45,"0","45","red",1980
"Colorado",7,"0","7","red",1980
"Connecticut",8,"0","8","red",1980
"Delaware",3,"0","3","red",1980
"District of Columbia",3,"3","0","blue",1980
"Florida",17,"0","17","red",1980
"Georgia",12,"12","0","blue",1980
"Hawaii",4,"4","0","blue",1980
"Idaho",4,"0","4","red",1980
"Illinois",26,"0","26","red",1980
"Indiana",13,"0","13","red",1980
"Iowa",8,"0","8","red",1980
"Kansas",7,"0","7","red",1980
"Kentucky",9,"0","9","red",1980
"Louisiana",10,"0","10","red",1980
"Maine",4,"0","4","red",1980
"Maryland",10,"10","0","blue",1980
"Massachusetts",14,"0","14","red",1980
"Michigan",21,"0","21","red",1980
"Minnesota",10,"10","0","blue",1980
"Mississippi",7,"0","7","red",1980
"Missouri",12,"0","12","red",1980
"Montana",4,"0","4","red",1980
"Nebraska",5,"0","5","red",1980
"Nevada",3,"0","3","red",1980
"New Hampshire",4,"0","4","red",1980
"New Jersey",17,"0","17","red",1980
"New Mexico",4,"0","4","red",1980
"New York",41,"0","41","red",1980
"North Carolina",13,"0","13","red",1980
"North Dakota",3,"0","3","red",1980
"Ohio",25,"0","25","red",1980
"Oklahoma",8,"0","8","red",1980
"Oregon",6,"0","6","red",1980
"Pennsylvania",27,"0","27","red",1980
"Rhode Island",4,"4","0","blue",1980
"South Carolina",8,"0","8","red",1980
"South Dakota",4,"0","4","red",1980
"Tennessee",10,"0","10","red",1980
"Texas",26,"0","26","red",1980
"Utah",4,"0","4","red",1980
"Vermont",3,"0","3","red",1980
"Virginia",12,"0","12","red",1980
"Washington",9,"0","9","red",1980
"West Virginia",6,"6","0","blue",1980
"Wisconsin",11,"0","11","red",1980
"Wyoming",3,"0","3","red",1980
