"state","totalvote","blue","red","outcome","year"
"Alabama",9,"9","0","blue",1976
"Alaska",3,"0","3","red",1976
"Arizona",6,"0","6","red",1976
"Arkansas",6,"6","0","blue",1976
"California",45,"0","45","red",1976
"Colorado",7,"0","7","red",1976
"Connecticut",8,"0","8","red",1976
"Delaware",3,"3","0","blue",1976
"District of Columbia",3,"3","0","blue",1976
"Florida",17,"17","0","blue",1976
"Georgia",12,"12","0","blue",1976
"Hawaii",4,"4","0","blue",1976
"Idaho",4,"0","4","red",1976
"Illinois",26,"0","26","red",1976
"Indiana",13,"0","13","red",1976
"Iowa",8,"0","8","red",1976
"Kansas",7,"0","7","red",1976
"Kentucky",9,"9","0","blue",1976
"Louisiana",10,"10","0","blue",1976
"Maine",4,"0","4","red",1976
"Maryland",10,"10","0","blue",1976
"Massachusetts",14,"14","0","blue",1976
"Michigan",21,"0","21","red",1976
"Minnesota",10,"10","0","blue",1976
"Mississippi",7,"7","0","blue",1976
"Missouri",12,"12","0","blue",1976
"Montana",4,"0","4","red",1976
"Nebraska",5,"0","5","red",1976
"Nevada",3,"0","3","red",1976
"New Hampshire",4,"0","4","red",1976
"New Jersey",17,"0","17","red",1976
"New Mexico",4,"0","4","red",1976
"New York",41,"41","0","blue",1976
"North Carolina",13,"13","0","blue",1976
"North Dakota",3,"0","3","red",1976
"Ohio",25,"25","0","blue",1976
"Oklahoma",8,"0","8","red",1976
"Oregon",6,"0","6","red",1976
"Pennsylvania",27,"27","0","blue",1976
"Rhode Island",4,"4","0","blue",1976
"South Carolina",8,"8","0","blue",1976
"South Dakota",4,"0","4","red",1976
"Tennessee",10,"10","0","blue",1976
"Texas",26,"26","0","blue",1976
"Utah",4,"0","4","red",1976
"Vermont",3,"0","3","red",1976
"Virginia",12,"0","12","red",1976
"Washington",9,"0","8","red",1976
"West Virginia",6,"6","0","blue",1976
"Wisconsin",11,"11","0","blue",1976
"Wyoming",3,"0","3","red",1976
